Year,Month,Rainfall (mm)
1995,9,80.3
1995,10,5.7
1995,11,41.2
1995,12,26.599999999999998
1996,1,0.6
1996,2,28.7
1996,3,16.3
1996,4,10.5
1996,5,97.3
1996,6,38.9
1996,7,83.0
1996,8,38.9
1996,9,36.0
1996,10,45.0
1996,11,37.7
1996,12,10.5
1997,1,5.8
1997,2,67.4
1997,3,28.5
1997,4,42.6
1997,5,55.0
1997,6,47.4
1997,7,74.8
1997,8,36.1
1997,9,16.9
1997,10,34.4
1997,11,15.5
1997,12,66.7
1998,1,54.4
1998,2,11.7
1998,3,59.2
1998,4,30.6
1998,5,37.4
1998,6,75.8
1998,7,61.6
1998,8,55.6
1998,9,35.7
1998,10,106.8
1998,11,42.6
1998,12,39.4
1999,1,35.3
1999,2,60.800000000000004
1999,3,47.6
1999,4,37.9
1999,5,26.7
1999,6,45.0
1999,7,26.6
1999,8,41.7
1999,9,10.7
1999,10,18.3
1999,11,25.2
1999,12,71.2
2000,1,42.5
2000,2,59.5
2000,3,92.7
2000,4,32.0
2000,5,29.5
2000,6,27.0
2000,7,61.6
2000,8,81.0
2000,9,61.8
2000,10,23.5
2000,11,24.7
2000,12,39.0
2001,1,37.0
2001,2,31.0
2001,3,41.4
2001,4,34.5
2001,5,41.5
2001,6,60.800000000000004
2001,7,54.1
2001,8,40.800000000000004
2001,9,135.4
2001,10,42.800000000000004
2001,11,47.6
2001,12,47.6
2002,1,37.8
2002,2,88.7
2002,3,44.9
2002,4,37.5
2002,5,67.4
2002,6,30.5
2002,7,56.9
2002,8,82.3
2002,9,49.699999999999996
2002,10,106.8
2002,11,48.2
2002,12,14.200000000000001
2003,1,63.4
2003,2,5.1000000000000005
2003,3,20.1
2003,4,17.7
2003,5,33.4
2003,6,47.0
2003,7,58.1
2003,8,21.8
2003,9,34.8
2003,10,62.5
2003,11,37.9
2003,12,49.5
2004,1,68.3
2004,2,51.8
2004,3,23.4
2004,4,24.3
2004,5,33.0
2004,6,57.9
2004,7,79.1
2004,8,67.1
2004,9,26.0
2004,10,21.6
2004,11,58.4
2004,12,26.6
2005,1,53.5
2005,2,40.3
2005,3,14.6
2005,4,11.8
2005,5,77.6
2005,6,29.9
2005,7,142.0
2005,8,56.7
2005,9,53.9
2005,10,37.7
2005,11,19.9
2005,12,45.5
2006,1,20.7
2006,2,42.7
2006,3,32.5
2006,4,45.5
2006,5,60.9
2006,6,13.2
2006,7,56.4
2006,8,75.5
2006,9,13.4
2006,10,25.5
2006,11,35.8
2006,12,31.7
2007,1,112.1
2007,2,52.7
2007,3,63.7
2007,4,1.5
2007,5,147.4
2007,6,107.9
2007,7,91.7
2007,8,87.5
2007,9,79.2
2007,10,5.2
2007,11,55.0
2007,12,30.3
2008,1,102.6
2008,2,11.8
2008,3,64.7
2008,4,69.5
2008,5,5.6000000000000005
2008,6,30.3
2008,7,27.2
2008,8,52.1
2008,9,84.89999999999999
2008,10,70.7
2008,11,23.6
2008,12,34.4
2009,1,17.8
2009,2,47.2
2009,3,42.3
2009,4,3.6
2009,5,87.9
2009,6,95.9
2009,7,69.9
2009,8,28.0
2009,9,29.4
2009,10,84.3
2009,11,61.1
2009,12,64.5
2010,1,21.6
2010,2,19.1
2010,3,43.3
2010,4,15.5
2010,5,67.1
2010,6,6.7
2010,7,55.5
2010,8,141.7
2010,9,87.2
2010,10,20.400000000000002
2010,11,101.6
2010,12,47.9
2011,1,33.5
2011,2,24.6
2011,3,15.6
2011,4,37.1
2011,5,17.6
2011,6,54.4
2011,7,185.1
2011,8,74.1
2011,9,56.1
2011,10,34.7
2011,11,1.0
2011,12,77.4
2012,1,57.1
2012,2,31.7
2012,3,8.8
2012,4,30.3
2012,5,32.9
2012,6,56.3
2012,7,125.9
2012,8,59.300000000000004
2012,9,25.8
2012,10,30.1
2012,11,51.3
2012,12,40.0
2013,1,56.2
2013,2,29.7
2013,3,18.400000000000002
2013,4,14.100000000000001
2013,5,76.5
2013,6,65.4
2013,7,35.6
2013,8,51.2
2013,9,74.9
2013,10,64.1
2013,11,54.0
2013,12,43.2
2014,1,29.5
2014,2,9.0
2014,3,11.8
2014,4,20.6
2014,5,85.8
2014,6,40.0
2014,7,61.1
2014,8,32.3
2014,9,27.4
2014,10,38.1
2014,11,5.7
2014,12,53.0
2015,1,77.4
2015,2,7.0
2015,3,45.1
2015,4,26.7
2015,5,17.6
2015,6,50.2
2015,7,67.1
2015,8,26.0
2015,9,31.9
2015,10,60.2
2015,11,69.8
2015,12,28.6
2016,1,40.8
2016,2,44.9
2016,3,23.1
2016,4,33.0
2016,5,42.5
2016,6,56.7
2016,7,62.3
2016,8,36.199999999999996
2016,9,12.9
2016,10,40.0
2016,11,35.9
2016,12,48.9
2017,1,38.1
2017,2,33.5
2017,3,48.2
2017,4,25.8
2017,5,15.8
2017,6,193.4
2017,7,134.8
2017,8,72.2
2017,9,31.7
2017,10,88.9
2017,11,70.8
2017,12,43.2
2018,1,73.4
2018,2,2.2
2018,3,45.7
2018,4,43.4
2018,5,14.4
2018,6,28.9
2018,7,56.6
2018,8,6.5
2018,9,20.4
2018,10,16.5
2018,11,18.7
2018,12,44.2
2019,1,47.5
2019,2,19.7
2019,3,62.5
2019,4,7.999999999999999
2019,5,20.400000000000002
2019,6,69.2
2019,7,46.5
2019,8,52.0
2019,9,47.800000000000004
2019,10,58.5
2019,11,32.0
2019,12,27.6
2020,1,34.0
2020,2,83.2
2020,3,30.3
2020,4,22.7
2020,5,33.3
2020,6,35.8
2020,7,46.800000000000004
2020,8,43.2
2020,9,52.8
2020,10,58.0
2020,11,16.6
2020,12,22.1
2021,1,45.1
2021,2,27.6
2021,3,31.8
2021,4,20.1
2021,5,47.7
2021,6,48.5
2021,7,59.9
2021,8,76.1
2021,9,35.3
2021,10,20.3
2021,11,66.8
2021,12,45.5
2022,1,29.8
2022,2,55.4
2022,3,1.3
2022,4,29.1
2022,5,30.8
2022,6,22.2
2022,7,33.0
2022,8,58.5
2022,9,45.9
2022,10,23.3
2022,11,9.2
2022,12,49.9
2023,1,64.6
2023,2,43.4
2023,3,68.7
2023,4,48.2
2023,5,12.7
2023,6,80.8
2023,7,73.4
2023,8,57.9
2023,9,21.8
2023,10,92.1
2023,11,64.4
2023,12,113.7
