ERROR:root:Invalid data at index 60249: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081005, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 0, 'eor': 'eor'}
ERROR:root:Invalid data at index 60262: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081019, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 6, 'eor': 'eor'}
ERROR:root:Invalid data at index 60263: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081020, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 6, 'eor': 'eor'}
ERROR:root:Invalid data at index 60285: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081119, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 6, 'eor': 'eor'}
ERROR:root:Invalid data at index 60286: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081120, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 6, 'eor': 'eor'}
ERROR:root:Invalid data at index 60294: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081204, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 6, 'eor': 'eor'}
ERROR:root:Invalid data at index 60295: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081205, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 6, 'eor': 'eor'}
ERROR:root:Invalid data at index 60296: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081207, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 6, 'eor': 'eor'}
ERROR:root:Invalid data at index 60297: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081208, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 6, 'eor': 'eor'}
ERROR:root:Invalid data at index 60298: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081210, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 6, 'eor': 'eor'}
ERROR:root:Invalid data at index 60299: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081211, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 6, 'eor': 'eor'}
ERROR:root:Invalid data at index 60300: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081213, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 6, 'eor': 'eor'}
