Year,Month,Rainfall (mm)
1885,1,87.0
1885,2,29.0
1885,3,52.1
1885,4,36.1
1885,5,4.1
1885,6,414.5
1885,7,191.0
1885,8,0.0
1885,9,11.4
1885,10,6.6
1885,11,12.4
1885,12,94.9
1886,1,66.1
1886,2,12.7
1886,3,127.4
1886,4,84.2
1886,5,60.2
1886,6,39.0
1886,7,137.1
1886,8,49.9
1886,9,6.6
1886,10,101.1
1886,11,107.0
1886,12,78.8
1887,1,153.8
1887,2,114.8
1887,3,65.9
1887,4,207.2
1887,5,261.0
1887,6,140.4
1887,7,90.2
1887,8,183.3
1887,9,33.3
1887,10,9.1
1887,11,128.4
1887,12,139.4
1888,1,0.0
1888,2,74.6
1888,3,2.5
1888,4,0.5
1888,5,11.0
1888,6,41.5
1888,7,72.9
1888,8,51.1
1888,9,64.4
1888,10,26.1
1888,11,8.6
1888,12,199.1
1889,1,43.3
1889,2,57.1
1889,3,24.2
1889,4,86.8
1889,5,521.9
1889,6,28.3
1889,7,238.4
1889,8,113.4
1889,9,99.8
1889,10,15.0
1889,11,130.7
1889,12,54.7
1890,1,139.3
1890,2,468.3
1890,3,424.7
1890,4,71.8
1890,5,216.7
1890,6,288.3
1890,7,229.7
1890,8,37.6
1890,9,63.5
1890,10,45.4
1890,11,120.7
1890,12,62.0
1891,1,102.7
1891,2,69.5
1891,3,251.0
1891,4,143.4
1891,5,91.5
1891,6,426.0
1891,7,107.7
1891,8,92.5
1891,9,165.8
1891,10,48.1
1891,11,85.2
1891,12,23.6
1892,1,136.9
1892,2,116.1
1892,3,481.9
1892,4,98.6
1892,5,81.2
1892,6,55.3
1892,7,110.0
1892,8,133.6
1892,9,181.1
1892,10,132.3
1892,11,72.0
1892,12,165.8
1893,1,95.1
1893,2,81.6
1893,3,275.5
1893,4,190.8
1893,5,43.9
1893,6,198.8
1893,7,135.6
1893,8,76.1
1893,9,39.6
1893,10,119.2
1893,11,115.4
1893,12,44.6
1894,1,40.3
1894,2,180.8
1894,3,340.7
1894,4,100.3
1894,5,32.8
1894,6,41.7
1894,7,57.0
1894,8,39.9
1894,9,176.2
1894,10,69.8
1894,11,10.4
1894,12,99.6
1895,1,220.6
1895,2,204.7
1895,3,37.8
1895,4,76.1
1895,5,66.8
1895,6,31.4
1895,7,10.7
1895,8,15.1
1895,9,110.2
1895,10,24.6
1895,11,76.3
1895,12,86.4
1896,1,42.9
1896,2,120.9
1896,3,102.4
1896,4,3.3
1896,5,99.6
1896,6,269.0
1896,7,51.3
1896,8,39.9
1896,9,7.9
1896,10,50.8
1896,11,136.4
1896,12,43.2
1897,1,32.3
1897,2,8.9
1897,3,98.0
1897,4,163.8
1897,5,87.6
1897,6,205.7
1897,7,157.2
1897,8,115.8
1897,9,30.7
1897,10,30.7
1897,11,4.1
1897,12,135.4
1898,1,139.7
1898,2,116.3
1898,3,41.4
1898,4,12.4
1898,5,313.4
1898,6,167.9
1898,7,74.7
1898,8,130.8
1898,9,30.5
1898,10,97.5
1898,11,11.9
1898,12,26.4
1899,1,52.8
1899,2,30.7
1899,3,73.7
1899,4,86.1
1899,5,162.1
1899,6,287.5
1899,7,102.6
1899,8,373.9
1899,9,0.0
1899,10,90.2
1899,11,131.1
1899,12,20.3
1900,1,43.7
1900,2,39.1
1900,3,109.2
1900,4,151.9
1900,5,319.0
1900,6,282.7
1900,7,326.9
1900,8,12.4
1900,9,64.8
1900,10,2.5
1900,11,187.7
1900,12,44.5
1901,1,161.5
1901,2,37.8
1901,3,83.6
1901,4,356.6
1901,5,46.5
1901,6,23.6
1901,7,101.3
1901,8,109.5
1901,9,73.7
1901,10,45.7
1901,11,17.3
1901,12,8.6
1902,1,58.4
1902,2,7.6
1902,3,52.6
1902,4,64.3
1902,5,34.0
1902,6,22.9
1902,7,284.5
1902,8,163.6
1902,9,49.8
1902,10,268.7
1902,11,72.6
1902,12,63.5
1903,1,49.0
1903,2,26.2
1903,3,93.2
1903,4,45.5
1903,5,80.5
1903,6,47.5
1903,7,120.4
1903,8,143.0
1903,9,126.7
1903,10,94.7
1903,11,61.0
1903,12,101.6
1904,1,48.8
1904,2,98.6
1904,3,132.3
1904,4,332.5
1904,5,146.3
1904,6,4.6
1904,7,274.8
1904,8,37.3
1904,9,27.4
1904,10,62.7
1904,11,12.4
1904,12,21.3
1905,1,43.2
1905,2,52.3
1905,3,204.0
1905,4,141.2
1905,5,143.3
1905,6,58.2
1905,7,11.4
1905,8,17.8
1905,9,69.3
1905,10,64.0
1905,11,9.9
1905,12,42.9
1906,1,58.4
1906,2,9.7
1906,3,99.3
1906,4,23.9
1906,5,213.6
1906,6,54.9
1906,7,5.6
1906,8,131.6
1906,9,33.0
1906,10,48.0
1906,11,109.5
1906,12,33.8
1907,1,66.0
1907,2,63.0
1907,3,203.7
1907,4,35.1
1907,5,38.6
1907,6,254.5
1907,7,11.2
1907,8,7.6
1907,9,7.1
1907,10,14.5
1907,11,52.3
1907,12,45.2
