#,Driver,BHR,SAU,AUS,JPN,CHN,MIA,EMI,MCO
1,Max Verstappen,1,1,1,1,1,1,1,6
2,Lando Norris,7,6,4,3,4,5,3,4
3,Charles Leclerc,2,2,5,8,6,2,4,1
4,Oscar Piastri,8,5,6,6,5,6,2,2
5,Carlos Sainz,4,,2,4,7,3,5,3
6,George Russell,3,7,7,9,8,7,6,5
7,Sergio Perez,5,3,3,2,2,4,11,16
8,Fernando Alonso,6,4,10,5,3,15,19,14
9,Lewis Hamilton,9,8,11,7,18,8,8,7
10,Yuki Tsunoda,11,9,8,10,19,10,7,8
11,Oliver Bearman,,11
12,Lance Stroll,12,10,9,16,11,11,13,13
13,Alexander Albon,13,12,12,14,14,14,14,9
14,Nico Hulkenberg,10,15,16,12,9,9,10,20
15,Daniel Ricciardo,14,14,18,11,12,18,9,12
16,Esteban Ocon,19,17,15,15,13,13,12,11
17,Valtteri Bottas,16,16,13,13,10,16,16,17
18,Pierre Gasly,20,18,17,17,15,12,15,10
19,Kevin Magnussen,15,13,14,18,17,19,18,19
20,Logan Sargeant,18,19,,19,20,17,20,15
21,Guanyu Zhou,17,20,19,20,16,20,17,18
