Squad,MP,TGT,GF,A,GA,S,SOG,Pass,Pass comp,Cross,Cross Comp,CK,CK Comp,OFF,Throw-in,FC,FS,YC,RC,APT,Poss,Year
Uruguay,7,660,1.50,1.09,1.09,13.9,6.27,418,258,12.3,2.73,4.91,1.09,2.73,17.6,13.5,15.0,1.23,0.13,33,46,2010
Spain,7,660,1.09,0.68,0.27,16.5,6.27,648,519,22.1,6.41,7.64,4.36,1.64,20.7,11.0,18.3,1.09,0.00,39,58,2010
Netherlands,7,660,1.64,1.36,0.81,12.7,6.27,510,363,12.8,3.41,4.23,1.36,3.95,20.0,17.2,15.8,3.00,0.13,33,52,2010
Germany,7,630,2.29,2.00,0.71,14.6,6.00,564,409,19.1,5.00,6.29,2.29,3.29,16.1,10.7,11.4,1.57,0.14,37,51,2010
Ghana,5,510,0.88,0.17,0.70,17.8,5.65,424,290,12.5,3.18,4.59,1.06,1.76,21.9,15.9,10.6,1.94,0.00,35,49,2010
Paraguay,5,480,0.56,0.56,0.37,11.8,4.88,444,292,10.5,3.56,2.63,1.13,1.31,24.6,18.2,14.8,1.69,0.00,32,50,2010
Brazil,5,450,1.80,1.60,0.80,17.8,6.20,572,451,16.4,3.80,6.80,3.40,1.20,19.8,15.6,15.2,1.40,0.20,37,56,2010
Argentina,5,450,2.00,0.80,1.20,19.0,8.60,605,459,13.0,4.00,6.60,3.20,2.40,20.0,13.0,15.4,1.40,0.00,39,57,2010
USA,4,390,1.15,0.46,1.15,15.9,6.00,406,271,14.5,4.15,3.92,2.08,0.92,22.2,12.5,14.3,2.08,0.00,33,50,2010
Japan,4,390,0.92,0.46,0.46,10.6,6.23,341,205,9.92,1.62,2.77,1.15,2.54,20.8,16.2,21.2,1.62,0.00,26,42,2010
Slovakia,4,360,1.25,1.00,1.75,10.3,2.75,451,309,13.5,2.25,5.25,2.50,2.00,29.5,17.0,16.3,2.75,0.00,31,50,2010
Portugal,4,360,1.75,1.75,0.25,13.8,5.25,495,365,17.0,3.75,4.00,1.50,2.00,18.5,15.0,12.0,2.00,0.00,33,46,2010
Mexico,4,360,1.00,0.75,1.25,13.3,4.50,528,400,13.8,3.00,4.25,2.50,3.50,19.3,21.0,15.8,2.25,0.00,36,53,2010
Korea Republic,4,360,1.50,0.50,2.00,15.5,5.50,480,332,12.5,3.50,4.50,1.25,0.75,25.5,14.3,14.8,1.50,0.00,36,51,2010
England,4,360,0.75,0.75,1.25,16.3,7.75,544,395,16.8,3.50,8.75,4.50,2.25,22.0,12.8,11.8,1.50,0.00,35,52,2010
Chile,4,360,0.75,0.75,1.25,16.0,4.75,502,360,16.3,4.75,5.00,2.25,4.25,21.3,19.8,17.0,3.25,0.25,34,52,2010
Switzerland,3,270,0.33,0.00,0.33,10.7,3.00,408,277,16.3,4.33,3.67,1.33,1.00,19.3,19.7,12.7,2.67,0.00,30,45,2010
South Africa,3,270,1.00,1.00,1.67,13.3,6.00,474,353,16.0,3.67,4.00,1.67,3.00,24.0,14.3,10.3,1.33,0.00,32,47,2010
Slovenia,3,270,1.00,1.00,1.00,9.00,4.67,445,305,16.3,2.33,2.33,1.33,2.33,23.0,14.7,16.7,3.00,0.00,33,48,2010
Serbia,3,270,0.66,0.33,1.00,15.0,3.67,495,358,13.7,4.67,3.67,1.33,4.33,15.3,10.0,20.3,2.67,0.33,40,52,2010
Nigeria,3,270,1.00,0.33,1.67,10.7,3.00,393,266,13.7,2.00,2.67,1.67,0.33,23.3,15.0,10.7,1.67,0.00,29,44,2010
New Zealand,3,270,0.66,0.33,0.66,5.00,1.00,364,221,9.33,0.66,1.00,0.66,1.00,20.0,20.3,11.7,2.00,0.00,31,46,2010
DPR Korea,3,270,0.33,0.33,4.00,11.3,3.67,412,268,7.67,2.67,1.33,0.66,2.00,14.3,8.67,14.3,0.66,0.00,29,41,2010
Italy,3,270,1.33,0.66,1.67,16.3,6.00,556,407,21.0,7.00,8.67,4.33,2.33,28.7,14.3,19.3,1.67,0.00,35,53,2010
Honduras,3,270,0.00,0.00,1.00,8.00,1.33,393,252,9.33,3.00,3.00,1.67,6.00,20.0,17.3,13.3,2.33,0.00,28,44,2010
Greece,3,270,0.66,0.00,1.67,13.3,5.33,413,281,20.3,3.00,7.67,2.00,2.33,18.7,13.3,11.7,1.67,0.00,33,46,2010
France,3,270,0.33,0.33,1.33,13.7,3.67,480,335,18.3,4.33,4.67,1.33,4.00,21.3,17.7,15.7,2.00,0.00,32,52,2010
Denmark,3,270,1.00,0.66,2.00,14.0,5.33,470,345,14.0,4.00,3.67,1.67,1.00,25.7,18.3,9.00,2.00,0.00,32,48,2010
Côte d'Ivoire,3,270,1.33,1.00,1.00,14.3,6.67,493,375,18.3,6.67,5.33,3.33,2.67,18.3,19.0,14.0,1.67,0.00,35,51,2010
Cameroon,3,270,0.66,0.00,1.67,16.3,5.00,552,400,19.7,5.33,5.33,3.00,2.00,23.3,18.7,13.7,1.67,0.00,35,54,2010
Australia,3,270,1.00,0.33,2.00,11.7,4.67,495,348,14.7,4.33,4.33,1.67,1.33,17.3,20.7,12.0,2.33,0.00,31,47,2010
Algeria,3,270,0.00,0.00,0.66,13.7,2.33,487,353,20.0,4.67,4.33,1.67,3.00,24.0,17.0,10.0,1.33,0.66,35,50,2010
