Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Year
Algeria,20,39.5,4.3,,,,,,,,,,,,,,,,,,,,,2014
Argentina,20,54.4,8.0,,,,,,,,,,,,,,,,,,,,,2014
Australia,17,43.7,3.0,,,,,,,,,,,,,,,,,,,,,2014
Belgium,20,52.6,5.3,,,,,,,,,,,,,,,,,,,,,2014
Bosnia & Herz'na,20,53.7,3.0,,,,,,,,,,,,,,,,,,,,,2014
Brazil,21,53.4,7.3,,,,,,,,,,,,,,,,,,,,,2014
Cameroon,20,44.3,3.0,,,,,,,,,,,,,,,,,,,,,2014
Chile,17,55.3,4.3,,,,,,,,,,,,,,,,,,,,,2014
Colombia,22,47.6,5.0,,,,,,,,,,,,,,,,,,,,,2014
Costa Rica,18,42.8,5.7,,,,,,,,,,,,,,,,,,,,,2014
Côte d'Ivoire,19,55.3,3.0,,,,,,,,,,,,,,,,,,,,,2014
Croatia,17,49.3,3.0,,,,,,,,,,,,,,,,,,,,,2014
Ecuador,17,45.0,3.0,,,,,,,,,,,,,,,,,,,,,2014
England,21,54.3,3.0,,,,,,,,,,,,,,,,,,,,,2014
France,19,53.0,5.0,,,,,,,,,,,,,,,,,,,,,2014
Germany,18,57.9,7.7,,,,,,,,,,,,,,,,,,,,,2014
Ghana,20,48.7,3.0,,,,,,,,,,,,,,,,,,,,,2014
Greece,17,47.3,4.3,,,,,,,,,,,,,,,,,,,,,2014
Honduras,18,49.0,3.0,,,,,,,,,,,,,,,,,,,,,2014
Iran,15,35.0,3.0,,,,,,,,,,,,,,,,,,,,,2014
Italy,21,55.0,3.0,,,,,,,,,,,,,,,,,,,,,2014
Japan,17,55.7,3.0,,,,,,,,,,,,,,,,,,,,,2014
Korea Republic,17,52.3,3.0,,,,,,,,,,,,,,,,,,,,,2014
Mexico,18,49.8,4.0,,,,,,,,,,,,,,,,,,,,,2014
Netherlands,23,49.3,7.7,,,,,,,,,,,,,,,,,,,,,2014
Nigeria,19,50.8,4.0,,,,,,,,,,,,,,,,,,,,,2014
Portugal,21,50.7,3.0,,,,,,,,,,,,,,,,,,,,,2014
Russia,16,49.3,3.0,,,,,,,,,,,,,,,,,,,,,2014
Spain,22,56.0,3.0,,,,,,,,,,,,,,,,,,,,,2014
Switzerland,18,47.8,4.3,,,,,,,,,,,,,,,,,,,,,2014
United States,19,44.8,4.3,,,,,,,,,,,,,,,,,,,,,2014
Uruguay,20,45.8,4.0,,,,,,,,,,,,,,,,,,,,,2014
